,label,text
1,1,banti hai empowered woman feminism pe gyan pelti hai aur din bhar roti rehti hai. pahle rona band kar madarchod
3,1, ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchod txexxa
5,1, punjab in madarchodon ko khila raha hai nokrian day raha hai aur yeh imran maxexxa 
7,1, agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.
9,1, main jutt punjabi hoon aur paka n league. madarchod imran ki punjab say nafrat clear hai.
11,1, to bhosdike tere baap ka kya ja raha hai? tu apna ghar dekh na madarchod
13,1, sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchod neem ka patta kadva haixexxa 
15,1, pata nahi aise sanghi kutte ko bhaxexxa 
17,1, screw the law of the land. if i find this chutiya madarchod mulla i will lynch him murder him cut into millions of pieces and haxexxa
19,0,a boy donated blood to his gf nntwo months later they broke up ?nnboy mujhe mera khoon lauta de nngirl throwxexxa 
21,1, bc madarchod south africa england main man of the match award le chukexexxa 
23,1, madarchod congresi or bjp dono ki sarkar bani baad me wade bhul gye rajasthan me hamri city tak singalxexxa 
25,1,madarchod socialify wale log xfxfxxa
27,1, madarchod kya hai yeh
29,1, / sunny leone bana ke chodegenteri maa konsamjh me aaya nmadarchodn/xexxa 
31,1, kis madarchod ki he giri hui harkt
33,1, teri maa behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.
35,1, deewar superhit nai aaj ke time ke hisaab se atbb hai chutye dont compaxexxa 
37,1,virat and anushkas future kidnnanushka mamma bolo beta mammaaaannkid mm.. ma.. maa.. madarchod
39,1, madarchod brahmno se mafi mango
41,1, suwar ke bache ..madar chod..teri maa ki chut me..ghungru bajaunga madarchod...bharxexxa 
43,1, fuck off chal bhag yahan se madarchod
45,1, teri maa ko our ben ko chudva sale benchod .... madarchod....gabbar
47,1,i have to say this madarchod i created multiple accounts and you locked all accounts 
49,1, ya bakrichod jyada ni uchal rhe h bhosdi vale madarchodnbawasir c shakal ki h yenand bhoktixexxa 
51,1, kidhar chupe hai re madarchod peta wale gandu log.?
53,1, tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha no ka madarchodxexxa 
55,1, madarchod maar dalo
57,1, isme embarassing kya hai bey madarchod? ahmedabad commissioner has not given permission to hold a rallxexxa 
59,1, madarchod musalman aaiysha aur wo hai
61,1, madarchod randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....
63,1,bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. 
65,1, cranko madarchod you unfollowed me tu dekh ab kya karta hun main
67,1, teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod
69,1, rafel deal rafel deal rafel deal... tum madarchod congressio ke raj mai fighter deal kyu nahi hue?? chuxexxa 
71,1, saniya must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo nexexxa 
73,1, i never donate to any madarchod hindu priests they are chors.
75,1, you madarchod in screwed air india and still have audacity to question government. kya khate ho aur kya sochte ho xexxa 
77,1,is madarchod sajid khan ko jayvijay se kya problem h . khud ko to kuch aata ni uski performance ko bekar bolta h..xexxa 
79,1, teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod
81,1, ambani supporter madarchod mar ja
83,1, bhadva madarchod bhakt ....
85,1, ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai madarchxexxa 
87,1, teri ammi k sath first inning virat khela tha tb tu paida hua aur tera abbu abhi us result ka gum mana rha h madarchod xfxfxaxa
89,1, oh the madarchod liberal manjrekar retweeted. bhadwa congress ka dalal.
91,1, madarchod jalta hai mujhse ?
93,1, modi madarchod hai na maa ko khara kar diya note ki line yr old maa. modi is harami chutiya pm
95,1, teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chodxexxa 
97,1,kutte jite nahi madarchod dusro ko bhi nahi jeene deti
99,1, teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve
101,1, abe madarchod bhagode multi starrer ese to daava me b naseer ka equal rxexxa 
103,1, madarchod kya chahta hai 
105,1, kis madarchod ki he giri hui harkt
107,1, madarchod shilpa randi rona band kar
109,1, madarchod bhenchod bsdk bhikhari jihadi porkistani xfxfxxxfxfxxxfxfxx aab theek
111,1, abe chup chutye ye to congress bhi kar sakti thi madarchod ahmedabad me aake marunga apna kam kar
115,1,bhak machod mullo ke abbu xexxa 
117,1, bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke txexxa 
119,1,madarchod why did your mom meet in gb road and get screwed by her. 
121,1, kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yahaxexxa 
123,1, terrorist madarchod humse baat karta hai
125,1, madarchod he saala
127,1, randi ki beti madarchod baaap se chuda moti bhains
129,1, madarchod chutiya tum ho sale
131,1,katra hotel owners madarchod hote hain
133,1, teri ammi ko se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahixexxa 
135,1, narad muni hai madarchod
137,1, madarchod karamfoot gaandu father of congress..
139,1, abe behsaram madarchod madarjaat tu abhi tak mara nahi tu to suiside karne waala tha kutte harami madarchoddddddddddddddd???????
141,1, when any virtue signalling chutiya comes to your tl grab his collar and say they are not playing by any rules .. saala baap ko sikhata hai ts a fuckixexxa
143,1,sab madarchod neta 
145,1, arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet karxexxa 
147,1, chal is baat me tu zaira waseem ki tatti kha le hutiye...warna ek baaxexxa 
149,1,madarchod teri kon sunega
151,1, teri maa randi madarchod saale pakistani
153,1, madarchod.. tera ghar ka nahi khati hai voh chutiye..
155,1, i m agree with you.. behanchod madarchod log h bhosdi wali log.. gali se hi baat smjjhane kaa xfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxc
157,1, madarchod choro hindustan chodo
159,1, madarchod tum vote ke liye apne bet i tak ki dalali kar sake ho
165,1, tu madarchod haii...... dosti ke namm par sala dhoka deta hai
167,1,madarchod fawad ko toh try ball khelaya gya tha. usey hi tum log first inning samjh liye. grow up morons. bhabhi sexexxa 
169,1, ye bahenchod achhe khase lund ko bekar karenge... itna bada risk le rahe hain...
171,1, kya zindagi h yaar bahenchod. ndimag khrb. ng m sb k sb. ngood night.
173,1, ladke wale kya karti hai aapki beti?nladki k papa twitter par logo ko bahenchod bolkar gender equality me apna yogdan dxexxa
175,1,kya zindagi h yaar bahenchod. ndimag khrb. ng m sb k sb. ngood night.
177,1, abe bahenchod kuch to sharam kar san be dekha hai nnfixedwinnershilpa
