,text,label
0,agreed why bjpindia narendramodi amitshah is silent over murshidabadheinouscrimebjp leaders are criticising urbannaxals but the things is fiberals never care about hindus we vote for bjp to change the scenario why hindus lives won’t matter to any political party,1
1,mamataofficial cant see lynchings in her state nor does hmoindia pmoindia bjpindia amitshah narendramodi narendramodiin rashtrapatibhvn kya in sab ko wb ko touch karne me dar lagta hai??? are those lynched not indian? newindia bjp pmmodi ,1
2,ramprasadmondala bjp worker was injured after he was allegedly shot at by tmc workers yesterday in baruipur the injured has been admitted to hospital southparganas westbengal narendramodi pmoindia bjpindia mamataofficial aitcofficial   ,1
3,outrage on twitter for not taking action against westbengal government by bjpindia narendramodi amitshah reminds me of pulvama attack rss bjp hindus are getting butchered but silence from modi shah is killing many westbengal n rest of india ,1
4,goal is what is listed by profpavarghese for modisarkar to achieve during the second term of pmoindia narendramodi without postponing any of the issues for future bjp narendramodi modi modisarkar,1
5,gobackmodi trend of dumeels looks to me like welcomemodi modixijinpingmeet bjpforunitedindia joinbjp bjpindia bjpmaharashtra narendramodi devfadnavis chdadapatil pmoindia bjplive pravinalai jitengajaria fridayfeeling fridaymotivation bjp nidhikamdarmh ,1
6,🌹congratulations🌹 🚩🚩🚩🚩🚩 manjeetkumarku bjp,1
7,i often told its narendramodi due whom many bjpindia leaders lik u enjoying da powerbjp itself would hv turned to a ngo otherwise yr this tweet is da best example of it r u in opposition? हर सुबह उठ के उनको प्नानाम बोलनाun k lie hi malai khane ko mil rha hy afterall,1
8,if you can’t protect your own people from being massacred almost everydayhow can you protect this country when time comes amitshah narendramodi bjpindia 👿 only symbolisms bakchodi is not going to save lives of bjp rss workersdo something to stop it please 😡🙏🏽,1
9,justiceforpmcvictims pmcbankscam is first scam unearthed which happened under the nose of narendramodi ji regime in involving bjp bjpindia member as director of pmc bank will incindia rahulgandhi take this opportunity?,1
10,welcome to tamilnadu with my country prime minister narendramodi ji and china president meet at mahabalipuram jai sriram narendramodi bjpindia drtamilisaiguv i suppobjp ,1
11,sir if appropriate action not taken its waste voting for bjp with such a majority you exactly know its hindu majority voted for bjpindia we want strong action its happening all over hindus are no more safe in hindusthan itself narendramodi murshidabad rss  ,1
12,if bjp has to grow in bengal mamatas tyranny has to continue unless hindus there are harassed driven to fear the bjp wont get votes the bjp has been thriving on this fear psychosis of the hapless hindu in india so bjp will remain mute calculating how much it benefits ,1
13,📌this is a worrying factor superstition has no role in this people should consult doctors delhi bjp modi modihaitomumkinhai bjpmanojkjain jangpura jangpuravidhansabha delhielection jangpuraassembly bjpdelhi bjpindia narendramodi  ,1
14,wat nonsense u r talking? bjpindia is ruling party narendramodi is pm amitshah is hm still u r helpless or trying to making us fool? hindulynched just bcs they trusted bjp to mch now feeling pain not a single party here to protect hindus hindutva vhpdigital rssorg,1
15,/ assuming sgurumurthy yr foisted onto rbi board to loot ₹ trillion fx ops rbi reserves=usual bjp swadeshi bjpindia guy? aawaaz bund? modi to agree open agri to rcep principleska talks narendramodi if that not kill acre farmer finally india,1
16,whats in the name after all bjp has already hijacked all previous populous govt schemes renamed them and relaunched them now bjd giving you back your own medicine in their packaging be spoand try to live with it but ensure it reaches the right benificiary ,1
17,📌rahul gandhi is like bahadur shah zafar he will demolish his own mughal dynasty of congress rahulgandhi rahulgoneagain pappu bjp modi modihaitomumkinhai bjpmanojkjain jangpura jangpuravidhansabha delhielection jangpuraassembly bjpdelhi bjpindia narendramodi ,1
18,is it me or we are missing parliament sessions under this government?? bjpindia narendramodi amitshah thursdaythoughts bjp,1
19,a bitter truth chowkidar is not chor but people whom we voted in the name of chowkidar are big kaam chor s narendramodi narendramodi astitvam chakravarthysulibele bjpindia bjplive bjp nimmaupendra jai hind 🇮🇳 ,1
20,sad to hear that the tree 🌲fell on the pmpl bus one person died and many peoples injured for that pmoindia narendramodi devfadnavis bjpindia chdadapatil muktatilak pmcpune pmpml pmp punerain punerains punefloods punetraffic saveaareyforest bjpshivsena bjp ,1
21,congratulations sir👍👍you are one of the top spokesperson in india bjp,1
22,congratulations sir we are proud of you and hope u win with big margin bjp only party who can change the future of india ,1
23,narendramodi pmoindia bjpindia dear sir i will try my best that every indian follows you on twitter to remain stay alefor what bjp has done and will do for welfare of india million followers and still counting good bless you dear narendram,1
24,engineersstudents bjp tawdevinod plzz forward as possible😂 ashchanchlani narendramodi devfadnavis bjpindia bjpmaharasht ,1
25,similar efficiency gains and committed efforts can be seen in other fields like farm sadak yojana which aims for providing all weather piccata roads to the rural folks bjpdoubleengine bjpforunitedindia bjp bjpindia bjpmaharashtra narendramodi devfadnavis chdadapatil ,1
26,whereas the farmers in maharashtra are enjoying the direct credit of pension from the centre bjpdoubleengine bjpforunitedindia bjp bjpindia bjpmaharashtra narendramodi devfadnavis chdadapatil pmoindia bjplive nidhikamdarmh pravinalai ravianaspure keshavupadhye ,1
27,similar is the case with mudra loan beneficiaries which total to about crores with a total loan disbursal amount of inr crores bjpdoubleengine bjpforunitedindia joinbjp bjp bjpindia bjpmaharashtra narendramodi devfadnavis chdadapatil pravinalai jdumde ,1
28, bjp lol shaziailmi babble cnnnews trust distrust china her party bjpindia choose former kya modi? not enough doklam deal w bhutan left india on himalaya ridges nowhere to go? no narendramodi stmt for homgkong democracy nor tibet taiwan drsjaishankar?,1
29, shivsena protests against bjp on aareyforestpolitics but fights elections along with bjpindia in maharashtra narendramodi speaks on mob lynchings hate crimes minorities dalits but his partner uddhavthackeray gives mla ticket to the prime suspect on,1
30,rssorg bjpindia narendramodi bjp namo rssvijayadashmi rssvijayadashami rss backs fdi divestment to counter economic slowdown ,1
31, crores moneylaundering via fcra in the name of sabka saath sabka vikas and good governance why evil fcra funded fraud christian ✝️ missionaries and church backed ngos hate bjp rss nda modi rssorg bjpindia narendramodi narendramodi  ,1
32,incindia n their lovers r reacting exactly as bjpindia would have wanted today hundreds of thousand will favor votes to bjp in coming elections amitshah narendramodi bravo,1
