,text,label
10000,im not sure what the rule is on that score actually. looking at the german barons category there seems to be an even split between those with freiherr in the title and those without. considering most of his life was lived in a german republic i would be more inclined to leave his title out but if somebody else wants to include i wouldnt mind. for me though leave it the way it is for the sake of convenience as much as anything. ill look for a reference later on.,0
10001, the david irving analogy is illustrative. to call someone a holocaust denier is to disparage him. however that doesnt mean the label is inaccurate on the contrary the label is abundantly supported by reliable sources who have discussed irvings work. similarly attaching conspiracy theorist to griffin acts to disparage him but that doesnt mean the label isnt accurate. it is amply supported by various rs. the admin who said we cant label griffin a ct was simply mistaken. ,0
10002,if i get enough l votes to leave you can delete the article forever. but keep it until the vote is over.,0
10003,romualdas marcinkus was a great man of lithuania. there is a documental film about his life ...,0
10004,will and elizabeths relationship someone keeps removing text i write that elizabeth is angry at will after it is learned that he made a secret bargain with sao feng. the point in the last two movies is that it remains doubtful until the end whether or not they can overcome their differences and be together. at first will believes elizabeth loves jack then hes upset that elizabeth did not confide in him that she was responsible for jacks death. in a reverse scenario elizabeth feels betrayed that will secretly made a bargain with sao feng violating her trust and putting the crew in danger. she becomes even more estranged from him because of this. it is not until the movies climax that the audience learns if they will overcome their differences and love one another although they are again torn apart.,0
10005, hit entertainment lyrick studios connecticut public television wnet new york,0
10006,tidies them up etc. i love teamwork. also,0
10007,my comments were deemed personal attacks ...you took a categorical position and blocked me . your current response magnitude of difference is a relative phrase surely an editor you block can not be the barometer to measure for judging another . i never asked you to block sitush .now categorically and boldly state your position is the use of the term windup merchant a personal attack or not ? ,0
10008,pictures? ==i dont really know how to add pictures but it would be great if pictures could be added. maybe the imedia boys could chip in? mademan==,0
10009,hi elen apart from chewing your ear for the first deletion tag i have generally seen your own actions as even handed and i would extend this comment to a few of the other editors all who disagreed with my view but after seeing how wikipedia works internally i confess to being little else than disgusted at the sheer stupidity involved and i point that criticism at the mechanics of the successful removal of the page stub for jwasm i bothered to write for wikipedia. the same antagonist tried to trash the masm page that i rewrote earlier and from his comments in its talk page it is only a matter of time until he does it again. an earlier editor tried to get some content into the masm page by scouring the masm web site and linking to web pages that i wrote for the masm user base and while i was willing to tolerate this and did a reasonable amount of work on the masm page to try and get it up to date and relevant so it was no longer needed in the face of endless obstruction i will simply resolve the problem from outside wikipedia. you are correct in the idea of taking the bat home but it goes further pulling the stumps and taking the ball and stumps as well then ploughing the field and leaving the mess for the antagonist to clean up. regards and thanks for your efforts.,0
10010,mokele what is the largest black caiman ever recorded?,0
10011,you dont know what you are talking about . that website references a historical item from . it is not an advertisement for woodbrooke estates. get your facts straight before needlessly editing something that you know nothing about,0
10012,shouldnt rain on your parade but.... no matter how much evidence you amass on the talkpage mastcelljgayslimgordon etc some times i think they are one and the same will bann you anyway but really who cares a twit project run by twits but not dumbies . i am still waiting for an explanation of where ms idea that poppers are harmless comes from how kerosene melts steel how treblinka is a mjor death site when all real historians say not so all court cases ...yadayada.... some of the science articlea are okay unless the article is really an ad but anything to do with history or social science is so full of bull you dont even have to be an expert to piss the wikiemperors off ie they dont know enough about the subject beyond pc to argue or they know their argument is full of it ie fat ladies can burst into flame and totally cremate themselves and at least one thin man read the holocaust article i think m came from nowhere so fast and sounds so similar to a few other admin/editors i have run into that i suspect they are a multiply birth tag team or the same person. good luck but i dont think they want anything near the truth in most/several articles. i found this out searching for mastcell on the web to see if i was the only one runnig into his goofiness,0
10013,no it doesnt. that edit was a long time ago it was immediately reverted and a warning was issued by the reverting editor. no repeat of the incident has occurred either on that article or any other and if there were a need to deal with it more harshly then it would have been done then. for first time vandalism a warning is enough and that was all that was needed so the subject is closed.,0
10014,ok i guess im not seeing it in the recent past. but thanks. ...,0
10015,how can you say it doesnt say x when x is copied directly from the article?,0
10016,who are you arguing against here? why not simply fix whatever needs to be fixed in the article and drop the offensive overgeneralized rant against some apparently imaginary enemies? where does all this bile come from... jan utc,0
10017,this is not intended in any way to be advertising. my goal was to create an article about the system known as theometrics but i couldnt find any way around mentioning the company by the same name that holds all the patents w/r/t the system.,0
10018,i am very sorry that the reply to your correspondence to my talk page. i do not know how or who has done this but i want to assure you it was not me. i wonder whether it was done when i had my account on wikipedia opened and was reading your message to me when i left my computer a couple of times to answer my mobile phone this is the only rationale i can arrive at currently.so all i can say here is that i would not respond in such manner to someone who has sent a neutral note as you had done let alone to a rude one. i really apologise and hope to engage in a more constructive process in the future especially on the issue of oghi and other topics of mutual interest.,0
10019,that page is certainly interesting as it is infamous for misusing and misinterpreting primary sources. care need to be taken with those articles as they are being selective with the information and as such they are not to be taken at face value.,0
10020,seeking translation to hungarian hello i seeking someone with english hungarian fluency to translate the english article maurice ascalon into hungarian for posting on the hungary version of wikipedia. he is a hungarianborn artist yet his article does not appear in the hungary version. would appreciate your assistance.,0
10021,on reading this it occurs to me i shouldnt respond when on my way out the door. what i was trying to say was that the reason i made the change was because most of the articles that used it needed updating. what i was trying to say thereafter was that if you wanted to deploy the new file the place to look for candidates is in the original files what links here special page. in any event ill go ahead and upload my file to the new file and deploy it where necessary. ,0
10022, march utc its a bit out of focus but more flattering a big improvement ,0
10023,i wouldnt want to have things that i did at age twelve dug up and thrown at me but as bluejay young has noted this is exactly what happened during helen kellers lifetime. there are several people today who say that essentially helen was subject to sockpuppeting and that she never had a mind of her own. however the other concerns are legit imo. i think theres a better chance of the frost kings article being referenced and better written if it were merged into this article since people are much more likely to search for helen keller than the frost kings assuming those people had good intentions and are bold which they arent. ,0
10024,rm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopediarm comment thats not relevant to building an encyclopedia,0
10025, april utcno theres a link to the tv show at the top of the article. thats more than enough. ,0
10026,mommy is a very common spelling in the west midlands of england for example the express star newspaper published in wolverhampton uses it for headings in its personal column. talk ,0
10027,i will be good now. the arbcom having nothing on me.}},0
10028,its not always going to be the same for instance the one on sr mentions it was partly sr . ne,0
10029, supertaça cândido de oliveira hello and thanks for asking but im afraid i dont have the spare time any more to do kits. this version of the sl benfica article has a basic version of their kit without the red flashes or the shoulder stripes if that helps at all. sorry i cant help further. cheers,0
10030,get on it how dare they insult my waifu,0
10031,could you please explain why we seem to be the same person?,0
10032, september utc ill take that as a yes. wpfringe and wpundue wpnpov are precisely the rules that i propose be enforced. ,0
10033,the proximal end of the blood vessel ends woolly. show it in crosssection at the end. what about labeling some blood vessels as artery or arteriole and vein or venuel?,0
10034,p.s. i just noticed the discussion continued in a previous section. as noted above i think it best to remove the label entirely at least for the time being. it isnt necessary and there appears to be no solid consensus yet.,0
10035, ka sesotho kgotso ntate mcdonald.thanks for your input at the sesotho talk page. i guess it really does depend on ones experiences but i do believe that there are numerous rational justifications to use the names sesotho and basotho eg. ambiguity of sotho which could refer to half a dozen different things but i feel that the most important reason is that one should use the original form of the native name instead of arbitrarily modifying it especially for a name which is not commonly used by average english speakers.i am rather intrigued by how you peace corps guys manage to learn these languages so quickly and be able to use them in the countries.what exactly do the peace corps do exactly? judging from the film elollipop it appears that its mainly an international volunteer organisation that goes to poor countries to attempt to uplift the people at grassroots level which sounds like a lot of fun yes i probably should take a look at the wikipedia article and stop asking you this stuff. thewhat?? ,0
10036,also in your previous example an int could be class a and a double could be class b even though int doesnt have any explicit operator+ its built into the compiler and int wouldnt be explicitly implementing the addablewithb interface. i believe thats another important difference with interfaces. ... ,0
10037, blocked you have been temporarily blocked from editing because of your disruptive edits. you are invited to contribute in a constructive manner as soon as the block expires. // cleared to land ,0
10038,no no no you have a right logic in your head but it is more complex than that. poland didnt exist at the time so poles were germans/russians/austrians and with the passport so in reality it is difficult to say how many poles immigrated o mexico. it used to be dependent on an official as well as immigrant giving the country of origin. some of them accepted to put poland as a place of origin most refused since poland was not a country any more. immigrants had the same dillema....,0
10039,i have no idea what this troll is about. his approach seems to be to harrass wp users and editors and claim they are some banned account. he seems to see this merkey person behind every tree. this guy needs to be blocked. he has numerous sockpuppet accounts and uses them to harass other editors. seems to be a pattern. what idiot gave this troll rollback privileges anyway? his editing history clearly indicates this account is an spi on this site for trolling and article maintenance of linux articles he is involved in. this account is being used by groklaw it appears and is some sort of paid editing.,0
10040,wikistalking please desist with your wikistalking activities. if you revert my edits again i will report you to wpaiv. cheers,0
10041, november utcit is a question of neutrality. the way the amnesty article is written gives the impression that more people favor amnesty than criticize how is that a npov? ,0
10042,no i didnt you have me confused with somebody else. it does sound druglike. wpnfcc may be helpful.,0
10043,no copyright notice pre am i correct in my understanding that there being no copyright notice on a movie poster published in the united states before makes that poster pd? ive been having a discussion with over promises promises which is currently using a fu file despite the poster being on commons and sans notice.,0
10044,it is clearly designed to denigrate those who have raised objections to the presence of islam in danish society.you should perhaps check out the articles from the u.s. dept of state. there is one on human rights in dk and one on religious freedom. this is factual academic work and it is far more damning that anything i have written yet. i will soon be incorporating some of these new findings provided by the u.s. dept of state and the u.s. ambassador to dk into this wikipedia article.if dk has a policy of religious freedom yet officially have a program of harassing immigrants that will not gain any favor in terms of international relations. it is virtually impossible to have an article that is factual and also presents a view that the danes are victims of muslim invaders because the facts do not support this. you have a bias towards a sanitized version where the dpp is just a conservative party and then you and your cohorts choose to delete their racist statements made in parliament and just about every fact that makes denmark look bad. its unfortunate that the truth and facts make dk look bad but it is what it is... the u.s. dept of state reports are far more damning and if you think that is biased it is in fact you who are biased. please keep your opinions between your underground conservative groups. we want facts and citations here.,0
10045,same with chavo guerrero and bam neelythey havent teamed for weeks and finlay and hornswoggle hasnt teamed for atleast months.,0
10046, examples bitcoins can be exchanged between any two computers provided each computer has bitcoin software and a wallet file. some websites maintain wallet files and bitcoin software as a service to their users allowing users to send and receive bitcoin even if they do not own a personal computer. no intermediate financial institution or government is required to verify transactions or transfer funds.the above is not acceptable mainly because bitcoins are not solely exchanged between computers. that is not how the system operates entirely and its in fact and understatement to the networking technology. a bitcoin transaction is simply signing the bitcoin address of another and transferring the coins. you can do that with any device. the website statement is misleading and implies people are trading bitcoins out of a library. that is not why these websites exist and you will need a citation for that claim. even then thats not where that claim belongs. the lead is for summarizing the article. not adding more content. also during this edit you completely butchered the description on how the bitcoin ledger system operates. you talk about how transactions are confirmed but you totally deleted the big picture bitcoin is a giant transaction log based on cryptography. you are not literally sending coins to each other by reassigning balances through digital signatures that are confirmed as following the rules by the network. you are making things very vague and not easier to understand.and again you are making things inaccurate. if you continue to add unsourced and inaccurate material i will be taking this to dispute resolution. ,0
10047,really ugly template please see the discussion at template talkgeneral electricall of ge media. — talk,0
10048,requested move phun d physics sandbox → phun — there is nothing currently at phun so the disambiguated name is unnecessary. there have previously been pages at phun. one was about a neologism another was for another was apparently a bio of someone and others were of unclear subject. the page has been created so often that it has been salted.,0
10049, to talk upset? you are not some kind of humorless blob are you? helping me to find content that i was unable to locate. wow. such an 大きなお世話. if its not too much trouble try not to stain my talk page any more please. although your rambling amuses me every time i dont want other people who look at this page to think i am associated with kinds of you in any way. report me? maybe you havent completely lost your sense of humor yet. ,0
10050,i had nearly moved on when i felt completely compelled to comment on this statement probably better than most clan websites which tend to be based on long outdated stuff from the th century. then i do not see a problem in using it until a better source can be found. especially to make amends to the masses of unsourced information that is found on so many of the individual clan articles. i can only interpet this as something is probably better because it is newer?? this makes no sense to me. history is what it is it should not change for the sake of change. if it was accurate over years ago it is just as accurate today. again if something is true and accurate hundreds or even thousands of years ago it is not and should not be subject to change because someone decides to rewrite it for either personal gain or an agenda. that is exactly what has happened with the origins for many highland clans. for any that might be interested william skenes and john murrays collaboration of the highlanders of scotland their origin history and antiquities is a wonderful and refreshing read. this is more than likely the truest accounting for several of the highland clans. it asserts that many of the origin claims put forth in more recent times are attempts to gain a foothold on the chieftainship by usurping the rightful lines. youll find that cadet septs used this technique to basically try to rewrite history for their own selfish gain. youd have to read the book to see how this played out but as i said before nearly all of the highland clans being bastardized as norman/anglohorman/flemish etc. are really dalriadan and pictish mixes. examples would be campbell cameron grant davidson wallace etc. i of course have distant ydna connections to all of these surnames but i know no one wants to hear about that as any sort of evidence. ill admit not one of these surnames or clans has a pure lineage but they all have a lineage going back to the picts and gaels. i am of that lineage which is quite rare and continues to be established. the masses are not of that lineage they are a mix if ra other rb haplotypes the i haplotypes etc. i will be the first to admit there may be hundreds of families not even related through a shared male ancestor sharing a surname or clan. my concern is with the origins only and the original chiefly lines. and please dont tell me how we are a mix of so much dna i am only referring to ydna the male lines. i am not talking about mtdna nor autosomal. what i dont understand is why when there is so much sourced information out there some editors choose only to use factually inaccurate sourced information. there is substantial factually accurate sourced information out there however it is not my intent to correct these erroneous articles or to present an opposing view. there is no opposing view there is either the truth or their are lies. either the celtic version is correct or the comyn version is correct or neither is correct. there cant factually be multiple versions of an origin it is what it is and there is only one true origin. this is not a contest to see who can provide more recent sources. i would hope wikipedia would want the truth out there and not contests of who can out edit who which is what wikipedia appears to be. there my case is presented to the message and not a specific messenger. clan davidson is celtic it descended from celts and it has no connection to the comyn family. it did not descend from a comyn male. they came from a very ancient gaelic ancestor an ancestor shared by several highland clans before surnames even were in use. one other greatly incorrect update to this site was the battle alleged between the davidsons and the macphersons....this never happened. the battle was between the clans fighting for the chief of the clan chattan the battle was fought between the mackintoshs and the macphersons were the true chiefly line but were outdocumented by the usurping mackintosh. this is pretty much exactly what is happening here on this very page. i hope someone else has more time and energy to properly update this page with the correct information and lets bury the lies and factually inaccurate information comprising most of this article. it was originally much more factually accurate but over the course of time has been corrupted with sourced information that is not also factually accurate.,0
10051, date of establishment charles mackay says that a people called the frieslanders were holding an annual diet under an oak tree at aurich as early as the th century quote as early as the eleventh century they had formed a general confederacy against the encroachments of the normans and the saxons which was divided into seven seelands holding annually a diet under a large oaktree at aurich near the upstalboom. the church exterminated them for witchcraft almost wiping them from the pages of history. almost. ref ... ,0
