,text,label
10000,ndtv’s dream of pappu as pm in will not come true. they can try in .,1
10001,those who r with modi...u dont have place outside india.....cuz for u the harmmmmmbahhhh funny our favourite meat is your god hahahahahahahahahahhuhuhuhuhu......i really wish modi will lose,1
10002,hello clownrust never sleeps ...,0
10003,mr modi is coming back his haters are less his lovers are phenomenal?,1
10004, should be jaeger regardless of what other people have decided erens name should be jaeger.its like calling light from death note raito.at least in the anime the people dubbing take care to correctly pronounce the foreing names ie all of them except mikasajaeger means hunter a german word.guess what eren does in the series? ,0
10005,intelligence citations bibliography for articles related to human intelligence you may find it helpful while reading or editing articles to look at a bibliography of posted for the use of all wikipedians who have occasion to edit articles on human intelligence and related issues. i happen to have circulating access to a huge academic research library at a university with an active research program in those issues and to another library that is one of the ten largest public library systems in the united states and have been researching these issues since . you are welcome to use these citations for your own research. you can help other wikipedians by suggesting new sources through comments on that page.,0
10006,very understandable... thanks for the snack ,0
10007, i seriously think bjp should immediately ask ec to ban avengers endgame looks like this movie is funded by the opposition xe x xa,1
10008,in that case would new age at least be acceptable? friend ,0
10009,bjp congress working for hindi people all north india are pakistani. language die nation will die learn from chiana kerala japan tamil. vote anybody but dont vote northern politicians.?,1
10010,ndia needed modiji in . india needs namoagain now more than ever.,1
10011,biased unreliableemotionally written by armenin wiki editors==pls stop using the wikipedia for your dirty propaganda and lobbying purposes. there was no genocide. this is a amyth advanced by the armenian church and armenian fundamentalist fascists. a nation can not be subject to a egnocide when it has several heros for whom you can see statues in yerevan irevan. jews dont have it. the resolution is the act of some sold congressmen who want to appease the armenian lobby. it has no reliable valid and neutral content. it is kjust a piece of dirty and lie facts presented and written by christian missionaries working to kill turks and kurds in s. you can claim to be subject to genocide as much as you want. but this thing did never happen. some armenian fundamentalists and fascists who were killing kurds turks and azerbaijanis were killed by great sons of the turkic nation and i am proud of them. go and propogate your lie as much as you can. you will achieve nothing. raman==,0
10012,kerala nurse in wayanad who received baby rahul gandhi in labour room waiting to meet him congress rahulgandhi rajamma indiragandhi priyankagandhi rajivgandhi incindia rahulgandhi priyankagandhi mullappally kcvenugopal oomenchandy inckerala  ,1
10013,my vote is always bjp?,1
10014,the great moment in my life to see rahulgandhi in my land manjeri rahulgandhi incindia congress kerala wayanad shamlikkurikkal,1
