,text,label
0,modi wave is more like a short spurt of premature ejaculation,1
1,years vs years modi government is doing great i support modi ?,1
2,only modi ?????,1
3,modi wave end ...now anti modi wave?,1
4,jai congress?,1
5,hate bjp?,1
6,modi is hitler. vote congres?s,1
7,modi is the worst politician of india ever. get ur facts right?,1
8,modi is winning in many state because of spreading hate between hindu and muslim and i am a hindu not a muslim so you think thats why i m against bjp?,1
9,modi i was waiting for the day since + people died during demonetisation. you shall face the consequences now....????,1
10,rahul is such an irresponsible leader..saw his latest tweet and think about himm...?,1
11,thanks for ec no need again bjpno need again modi bjp hatao desh bachao?,1
12,bye bye bjp at last huh?,1
13,hope we will get good news on rd may... that will be a great day or a new journey for our democracy. we dont need arrogant pm. no bjp?,1
14,anti indian pigs never vote bjp,1
15,,1
16,namo again?,1
17,modi for .,1
18,modi is literally the trump of india. hes not the problem but the symptom of wider social issues?,1
19,modi supporters talking about unity and being secular is like a pure vegetarian person talking about how tasty chicken meat is.?,1
20,we want modi again in to be pm?,1
21,rahul gandhi pm?,1
22,modi is great for world?,1
23,time for modi to give up?,1
24,modi has been worst pm and curse for india,1
25,,1
26,i love you modi?,1
27,modi ji for ?,1
28,what has modi done that you all support modi??,1
29,if unity is so important why is modi destroying it??,1
30,i was a die hard modi supporter in . but false promises lies etc for past years have really changed me. i will vote for anyone but the bjp the electronic voting machines should not be used again in frankly speaking.?,1
31,i love you narendra modi ji....?,1
32,modi jindadbad ab ki baar firse modi har har mahadev har bar modi. har jagah modi. bas modi hi modi. jai hind?,1
33, elections will be difficult for bjp.?,1
34,no indian muslim likes modi. he is responsible for the genocide of muslims in gujarat. muslims also hate his ideology.,1
35,modi is like hitler.... he is winning by killing muslims in public like hitler.... please spread this news... modi will kill all muslims and christians in india?,1
36,you are perfectly correct....india will be destroyed in years if the same idiots live and vote there?,1
37,so bjp is best will develop india ....?,1
38,r. i. p bjp in advance?,1
39, rahul fake gandhi,1
40,bjp is arrogant and overconfident. indians love black money tax evasion bribes nepotism scams let them have the grand alliance of thugs so that they can continue to divide and loot.?,1
41,only modi?,1
42,bjp will easily get ...people vote differently in state and central,1
43,bjp still favorable to us in central.?,1
44,jai congress?,1
45,congress will will rule?,1
46,,1
47,ambani slave bjp?,1
48,vote congress n everyone live together peacefully?,1
49,bjp will win?,1
50, narendra modi will emerge as the strong winner?,1
51,only modi ?????,1
52,,1
53,,1
54,,1
55,only bjp will win thats my remarks?,1
56,congress will be win more than ?,1
57,modi ji win?,1
58,modi + easily?,1
59,vot bjp?,1
60,modi will ruin bjp in general election?,1
61,congress will win bjp bahut hi jhoot banane vali party hai. bjp haregi?,1
62,it’s clear congress is gonna win?,1
63,next pm rahul gandhi?,1
64,congress win..... bjp get lost?,1
65,bjp easily win?,1
66,modiji never lost election where he headed / ing govt since he made cm of guj. modiji will win its only modiji?,1
67,bjp win get more?,1
68,vote only congress ???,1
69,abki bar rahul sarkar?,1
70,come back congress and save india?,1
71, bjp will not be able to get more than seats.,1
72,very true... bjp will fail...he is rite .. ,1
73,nda will win?,1
74,fake...bjp will easily gt ...majority is a question...dont put ur christian agenda here?,1
75,no bjp no congressothersregional partiesdominate?,1
76,congress will win at least seats in madhya pradesh.?,1
77,india win if congress win?,1
78,i hope modi wins... if pappu wins it will bring catastrophe upon the nations economy and system...?,1
79,people who want rahul gandhi as pm should be careful because if he becomes pm for india definitely he will bring disaster for the country like nehru government did.?,1
80,modi throwed the country in to the dark its % correct think oncebut media says wrong?,1
81,mood of the nation is modi ???,1
82,bjp is the party of today and tomorrow congress on steep decline.?,1
83,i like modi too..,1
84,support mr. pm modi modi is brave eminent pm ,1
85,modi ji nation with you. please go ahead and take remarkable decisions to build our nation as a vishwaguru.,1
86,modi should win. stop listening to the pseudo seculars. modi is a necessity?,1
87,bjp downfall started now. ,1
88,bjp will loose big in karnataka now. ,1
89,the kind of policies and reforms which modi brought in he will win very easily. people are intelligent enough to understand what modi all these years. he is sure winner.?,1
90,namo is grrrreat .. ,1
91,namo is far better than his discredited rivals his sincerity is unquestionable.?,1
92,india wants modi as pm again. vote for modi. ??. bharat mata ki jai. modi modi modi modi.?,1
93,bjp is failure government..?,1
94,popular honourable modi will become next prime minister of india,1
95,only bjp bjp?,1
96,full respect modiji.?,1
97,modi will win because no prime minister of congress had ever been so active as modi and in india the most corrupted are congress.,1
98,we wont vote for bjp not even a single constituency.,1
99,modi shouldnt win in not trust worthy?,1
100,modi will win ?,1
101,sashi tharoor for pm?,1
102,bjp won election ?,1
103,modi is the only one who can develop india.,1
104,bjp zindabad?,1
105,modi did nothing its all about fake news and zumlas.?,1
106,jai bjp..?,1
107,modi failed us all i think he does not know how to rule the country?,1
108,only namo?,1
109,i salute to modiji and bjp government to their hard work for india at the same time i request to people of india give some time and well see the good results.,1
110,modi has a serious feeling of losing in .,1
