,text,label
0,explanationwhy the edits made under my username hardcore metallica fan were reverted? they werent vandalisms just closure on some gas after i voted at new york dolls fac. and please dont remove the template from the talk page since im retired now....,0
1,daww he matches this background colour im seemingly stuck with. thanks. talk january utc,0
2,hey man im really not trying to edit war. its just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. he seems to care more about the formatting than the actual info.,0
3,morei cant make any real suggestions on improvement i wondered if the section statistics should be later on or a subsection of types of accidents i think the references may need tidying so that they are all in the exact same format ie date format etc. i can do that later on if noone else does first if you have any preferences for formatting style on references or want to do it yourself please let me know.there appears to be a backlog on articles for review so i guess there may be a delay until a reviewer turns up. its listed in the relevant form eg wikipediagoodarticlenominationstransport ,0
4,you sir are my hero. any chance you remember what page thats on?,0
5,congratulations from me as well use the tools well.  · talk ,0
6,your vandalism to the matt shirvington article has been reverted. please dont do it again or you will be banned.,0
7,sorry if the word nonsense was offensive to you. anyway im not intending to write anything in the articlewow they would jump on me for vandalism im merely requesting that it be more encyclopedic so one can use it for school as a reference. i have been to the selective breeding page but its almost a stub. it points to animal breeding which is a short messy article that gives you no info. there must be someone around with expertise in eugenics? ...,0
8,alignment on this subject and which are contrary to those of dulithgow,0
9,fair use rationale for imagethanks for uploading image i notice the image page specifies that the image is being used under fair use but there is no explanation or rationale as to why its use in wikipedia articles constitutes fair use. in addition to the boilerplate fair use template you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use.please go to the image description page and edit it to include a fair use rationale.if you have uploaded other fair use media consider checking that you have specified the fair use rationale on those pages too. you can find a list of image pages you have edited by clicking on the my contributions link it is located at the very top of any wikipedia page when you are logged in and then selecting image from the dropdown box. note that any fair use images uploaded after may and lacking such an explanation will be deleted one week after they have been uploaded as described on criteria for speedy deletion. if you have any questions please ask them at the media copyright questions page. thank you. talk • contribs • unspecified source for imagethanks for uploading image i noticed that the files description page currently doesnt specify who created the content so the copyright status is unclear. if you did not create this file yourself then you will need to specify the owner of the copyright. if you obtained it from a website then a link to the website from which it was taken together with a restatement of that websites terms of use of its content is usually sufficient information. however if the copyright holder is different from the websites publisher then their copyright should also be acknowledged.as well as adding the source please add a proper copyright licensing tag if the file doesnt have one already. if you created/took the picture audio or video then the tag can be used to release it under the gfdl. if you believe the media meets the criteria at wikipediafair use use a tag such as or one of the other tags listed at wikipediaimage copyright tagsfair use. see wikipediaimage copyright tags for the full list of copyright tags that you can use.if you have uploaded other files consider checking that you have specified their source and tagged them too. you can find a list of files you have uploaded by following this link. unsourced and untagged images may be deleted one week after they have been tagged as described on criteria for speedy deletion. if the image is copyrighted under a nonfree license per wikipediafair use then the image will be deleted hours after . if you have any questions please ask them at the media copyright questions page. thank you. talk • contribs • ,0
